"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 18 17:24:39 UTC 2026","Wed Feb 18 17:24:39 UTC 2026","28","","com.roomfinder.roomzy.service.impl.PageListingServiceImplTest","","com.roomfinder.roomzy.service.impl.PageListingServiceImplTest","testCreatePageListing_success","testCreatePageListing_success()",""
"failed","Wed Feb 18 17:24:38 UTC 2026","Wed Feb 18 17:24:38 UTC 2026","336","","com.roomfinder.roomzy.service.impl.CallBackServiceImplTest","","com.roomfinder.roomzy.service.impl.CallBackServiceImplTest","testUpdateCallBackNotFound_fail","testUpdateCallBackNotFound_fail()",""
"failed","Wed Feb 18 17:24:39 UTC 2026","Wed Feb 18 17:24:39 UTC 2026","8","","com.roomfinder.roomzy.service.impl.UserServiceImplTest","","com.roomfinder.roomzy.service.impl.UserServiceImplTest","testUpdateUserNameTooShort_fail","testUpdateUserNameTooShort_fail()",""
"passed","Wed Feb 18 17:24:41 UTC 2026","Wed Feb 18 17:24:41 UTC 2026","7","","com.roomfinder.roomzy.service.impl.JwtServiceImplTest","","com.roomfinder.roomzy.service.impl.JwtServiceImplTest","getUserName_success","getUserName_success()",""
"passed","Wed Feb 18 17:24:35 UTC 2026","Wed Feb 18 17:24:37 UTC 2026","1116","","com.roomfinder.roomzy.service.impl.OtpServiceImplTest","","com.roomfinder.roomzy.service.impl.OtpServiceImplTest","refreshToken_success","refreshToken_success()",""
"passed","Wed Feb 18 17:24:38 UTC 2026","Wed Feb 18 17:24:38 UTC 2026","11","","com.roomfinder.roomzy.service.impl.AmenitiesServiceImplTest","","com.roomfinder.roomzy.service.impl.AmenitiesServiceImplTest","testGetAmenitiesByCategory_success","testGetAmenitiesByCategory_success()",""
"passed","Wed Feb 18 17:24:38 UTC 2026","Wed Feb 18 17:24:38 UTC 2026","10","","com.roomfinder.roomzy.service.impl.CallBackServiceImplTest","","com.roomfinder.roomzy.service.impl.CallBackServiceImplTest","testCreateCallBackPageAndRoomNull_fail","testCreateCallBackPageAndRoomNull_fail()",""
"broken","Wed Feb 18 17:24:37 UTC 2026","Wed Feb 18 17:24:37 UTC 2026","24","","com.roomfinder.roomzy.service.impl.RoomListingServiceImplTest","","com.roomfinder.roomzy.service.impl.RoomListingServiceImplTest","testCreateRoomListing_success","testCreateRoomListing_success()",""
"passed","Wed Feb 18 17:24:37 UTC 2026","Wed Feb 18 17:24:37 UTC 2026","15","","com.roomfinder.roomzy.service.impl.OtpServiceImplTest","","com.roomfinder.roomzy.service.impl.OtpServiceImplTest","verifyOtpExpired_fail","verifyOtpExpired_fail()",""
"passed","Wed Feb 18 17:24:38 UTC 2026","Wed Feb 18 17:24:38 UTC 2026","12","","com.roomfinder.roomzy.service.impl.CallBackServiceImplTest","","com.roomfinder.roomzy.service.impl.CallBackServiceImplTest","testUpdateCallBackStatus_success","testUpdateCallBackStatus_success()",""
